epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,29291.8,1.24344,3.12294,1.1396,1.21493,0.47473,0.28791,0.29357,0.19934,0.38805,0.19794,0.19728,0.11322,1.39358,3.37832,1.30826,1.18277,0.00018505,0.00018505,0.00018505
30,30316.9,1.2334,3.10919,1.13945,1.2137,0.53964,0.28573,0.29377,0.19942,0.43144,0.19697,0.18583,0.11038,1.39149,3.42356,1.3051,1.17797,0.000183552,0.000183552,0.000183552
31,31358.7,1.22768,3.09993,1.12226,1.20398,0.48116,0.29269,0.29858,0.20126,0.38682,0.20964,0.19605,0.11513,1.38234,3.38323,1.28833,1.17559,0.000182054,0.000182054,0.000182054
32,32402.5,1.23753,3.10742,1.13293,1.21325,0.51045,0.28805,0.28802,0.19947,0.42036,0.2056,0.1934,0.11338,1.38701,3.45289,1.30789,1.18745,0.000180556,0.000180556,0.000180556
33,33433.9,1.22531,3.09035,1.12457,1.20714,0.51245,0.29653,0.29259,0.20221,0.42278,0.19994,0.19092,0.11454,1.37954,3.37902,1.29038,1.16995,0.000179058,0.000179058,0.000179058
34,34466.8,1.22545,3.0863,1.12693,1.20729,0.58884,0.29134,0.29828,0.20353,0.48281,0.20767,0.19924,0.11738,1.3791,3.42739,1.2796,1.17461,0.000177559,0.000177559,0.000177559
35,35503.2,1.22263,3.08337,1.11489,1.20181,0.53622,0.2978,0.30022,0.20419,0.45157,0.20138,0.19703,0.11586,1.37466,3.35292,1.27874,1.16993,0.000176061,0.000176061,0.000176061
36,36535.9,1.22933,3.09035,1.11854,1.20669,0.51557,0.29541,0.30087,0.20629,0.40688,0.20871,0.19463,0.11478,1.37564,3.40785,1.28566,1.16825,0.000174563,0.000174563,0.000174563
37,37563.4,1.22506,3.074,1.11046,1.20252,0.5544,0.28845,0.30663,0.20786,0.43572,0.20268,0.20356,0.11648,1.38869,3.37158,1.2734,1.17452,0.000173065,0.000173065,0.000173065
38,38600.3,1.21889,3.07668,1.10233,1.20109,0.57808,0.29317,0.29366,0.20268,0.49897,0.20049,0.19501,0.11444,1.36884,3.44079,1.26761,1.17247,0.000171567,0.000171567,0.000171567
39,39643.3,1.21512,3.06406,1.1008,1.19604,0.50653,0.29968,0.3023,0.20772,0.40689,0.21069,0.20186,0.11647,1.37306,3.41206,1.27678,1.16561,0.000170068,0.000170068,0.000170068
40,40682.3,1.21901,3.06616,1.09982,1.19494,0.48148,0.29688,0.30379,0.20757,0.37993,0.208,0.20044,0.11676,1.37614,3.41789,1.28372,1.17187,0.00016857,0.00016857,0.00016857
41,41729.9,1.22356,3.06838,1.101,1.19563,0.51181,0.29792,0.30235,0.20663,0.41208,0.21348,0.20159,0.11655,1.37079,3.34078,1.26793,1.15709,0.000167072,0.000167072,0.000167072
