epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,131194,1.12681,2.86968,0.94344,1.13364,0.51891,0.30658,0.32695,0.22002,0.40527,0.22053,0.21617,0.12452,1.35445,3.41906,1.21851,1.144,4.7216e-05,4.7216e-05,4.7216e-05
122,132224,1.12339,2.86637,0.94266,1.13326,0.51237,0.31068,0.33374,0.22125,0.44119,0.22259,0.22756,0.12796,1.35733,3.46055,1.22673,1.14554,4.57178e-05,4.57178e-05,4.57178e-05
123,133265,1.11965,2.85342,0.93767,1.13211,0.4993,0.31351,0.33238,0.22417,0.43742,0.22499,0.22764,0.1284,1.35576,3.49732,1.22428,1.14652,4.42196e-05,4.42196e-05,4.42196e-05
124,134310,1.12375,2.86115,0.94093,1.13389,0.48225,0.31306,0.33585,0.22236,0.40118,0.22286,0.22582,0.12713,1.34815,3.44606,1.21089,1.13804,4.27214e-05,4.27214e-05,4.27214e-05
125,135362,1.11763,2.86089,0.93484,1.1286,0.50677,0.31073,0.33432,0.22664,0.43511,0.22546,0.22763,0.12825,1.35462,3.47315,1.22502,1.14393,4.12232e-05,4.12232e-05,4.12232e-05
126,136403,1.12382,2.86158,0.94282,1.13514,0.47588,0.3174,0.33513,0.2227,0.40721,0.22106,0.22771,0.12942,1.34873,3.45824,1.21853,1.14367,3.9725e-05,3.9725e-05,3.9725e-05
127,137446,1.11453,2.85289,0.93363,1.13025,0.50475,0.31217,0.33435,0.22471,0.46172,0.22122,0.22544,0.12818,1.35479,3.44455,1.222,1.14378,3.82268e-05,3.82268e-05,3.82268e-05
128,138490,1.12333,2.86548,0.9401,1.13304,0.51216,0.31031,0.33573,0.22541,0.43166,0.22379,0.22557,0.12856,1.3507,3.4465,1.21709,1.14219,3.67286e-05,3.67286e-05,3.67286e-05
129,139538,1.11944,2.85062,0.93506,1.13123,0.51021,0.31603,0.33533,0.22341,0.40416,0.22649,0.22656,0.12861,1.35094,3.45919,1.21877,1.13904,3.52304e-05,3.52304e-05,3.52304e-05
130,140580,1.11421,2.84701,0.9366,1.13009,0.51177,0.31328,0.33699,0.22576,0.39717,0.22699,0.22514,0.12819,1.35026,3.44628,1.21266,1.14051,3.37322e-05,3.37322e-05,3.37322e-05
131,141623,1.1139,2.84478,0.92908,1.12923,0.51645,0.31346,0.32863,0.22208,0.43518,0.22171,0.21658,0.12418,1.35949,3.45453,1.22476,1.14558,3.2234e-05,3.2234e-05,3.2234e-05
132,142676,1.12025,2.86088,0.93487,1.12911,0.55749,0.30986,0.33736,0.22613,0.39807,0.22745,0.22622,0.12824,1.35273,3.43392,1.21597,1.1403,3.07358e-05,3.07358e-05,3.07358e-05
133,143741,1.11981,2.85675,0.93642,1.13004,0.54479,0.31412,0.33653,0.22594,0.4342,0.22594,0.22702,0.12861,1.35321,3.45077,1.22174,1.14269,2.92376e-05,2.92376e-05,2.92376e-05
134,144792,1.119,2.85583,0.93537,1.128,0.51158,0.31283,0.33748,0.22081,0.47359,0.2163,0.22518,0.12801,1.35165,3.43317,1.21628,1.14201,2.77394e-05,2.77394e-05,2.77394e-05
135,145844,1.11044,2.85209,0.93441,1.12958,0.50887,0.3133,0.329,0.22002,0.48523,0.22319,0.22447,0.12567,1.34987,3.44223,1.21275,1.14109,2.62412e-05,2.62412e-05,2.62412e-05
136,146894,1.11206,2.83917,0.93156,1.12567,0.53701,0.31543,0.32935,0.22078,0.47484,0.21845,0.22051,0.12537,1.35301,3.45731,1.21868,1.14157,2.4743e-05,2.4743e-05,2.4743e-05
137,147942,1.11682,2.84959,0.93384,1.12908,0.49723,0.31437,0.32905,0.21965,0.44083,0.2303,0.22388,0.12556,1.35676,3.45749,1.22031,1.14438,2.32448e-05,2.32448e-05,2.32448e-05
138,148984,1.1183,2.85294,0.93242,1.12869,0.49865,0.31535,0.33574,0.22501,0.43367,0.22737,0.22762,0.12921,1.35385,3.46557,1.21977,1.14285,2.17466e-05,2.17466e-05,2.17466e-05
139,150031,1.11503,2.84366,0.93299,1.12845,0.49526,0.31597,0.33645,0.22649,0.43993,0.21992,0.22707,0.12897,1.35039,3.44323,1.21285,1.14192,2.02484e-05,2.02484e-05,2.02484e-05
140,151077,1.11395,2.84562,0.92833,1.12672,0.5087,0.31426,0.33565,0.22523,0.44469,0.21775,0.22441,0.12817,1.35479,3.45173,1.21704,1.14508,1.87502e-05,1.87502e-05,1.87502e-05
141,151962,1.23908,3.01542,1.09021,1.17236,0.55098,0.30216,0.31826,0.20946,0.43391,0.20979,0.20726,0.11747,1.3726,3.47108,1.2518,1.15996,1.7252e-05,1.7252e-05,1.7252e-05
142,152844,1.20894,2.95229,1.02085,1.15635,0.5509,0.30692,0.31614,0.21095,0.42751,0.21879,0.20545,0.11797,1.37252,3.48326,1.24918,1.15863,1.57538e-05,1.57538e-05,1.57538e-05
143,153726,1.20177,2.93446,1.00668,1.14774,0.55124,0.30815,0.31866,0.21248,0.43352,0.22091,0.20744,0.11919,1.37125,3.47121,1.24521,1.15499,1.42556e-05,1.42556e-05,1.42556e-05
144,154601,1.20038,2.92627,1.00053,1.14931,0.51156,0.30969,0.32092,0.21426,0.40939,0.22188,0.20775,0.11928,1.36667,3.46799,1.24101,1.1539,1.27574e-05,1.27574e-05,1.27574e-05
145,155478,1.19839,2.92108,0.99447,1.15149,0.51189,0.31225,0.32036,0.21432,0.40959,0.22417,0.20884,0.11938,1.36397,3.47105,1.24338,1.15125,1.12592e-05,1.12592e-05,1.12592e-05
146,156352,1.19527,2.91947,0.99146,1.14611,0.51098,0.31085,0.31872,0.21413,0.4077,0.2267,0.20865,0.11925,1.36281,3.46666,1.24041,1.15156,9.761e-06,9.761e-06,9.761e-06
147,157227,1.19313,2.91495,0.98996,1.14823,0.51686,0.30742,0.32159,0.21564,0.40552,0.22306,0.20892,0.11979,1.35982,3.45911,1.23578,1.14863,8.2628e-06,8.2628e-06,8.2628e-06
148,158102,1.19105,2.90503,0.98888,1.14665,0.51691,0.31016,0.32122,0.21598,0.40555,0.22356,0.20839,0.11955,1.35801,3.46596,1.23581,1.14826,6.7646e-06,6.7646e-06,6.7646e-06
149,158989,1.18976,2.9128,0.98613,1.14038,0.51349,0.30943,0.3202,0.21554,0.40632,0.22337,0.20824,0.11961,1.36097,3.45615,1.23791,1.14843,5.2664e-06,5.2664e-06,5.2664e-06
150,159914,1.19079,2.90615,0.98598,1.1457,0.51601,0.30968,0.32137,0.21514,0.40766,0.22424,0.20967,0.12043,1.3601,3.45707,1.23573,1.14823,3.7682e-06,3.7682e-06,3.7682e-06
